timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:10.906, 58.39 W, 100 %
2026/05/28 02:55:11.010, 58.58 W, 100 %
2026/05/28 02:55:11.118, 58.39 W, 100 %
2026/05/28 02:55:11.221, 58.39 W, 100 %
2026/05/28 02:55:11.324, 58.30 W, 100 %
2026/05/28 02:55:11.428, 58.49 W, 100 %
2026/05/28 02:55:11.531, 58.39 W, 100 %
2026/05/28 02:55:11.634, 58.30 W, 100 %
2026/05/28 02:55:11.738, 58.58 W, 100 %
2026/05/28 02:55:11.841, 58.49 W, 100 %
2026/05/28 02:55:11.944, 58.39 W, 100 %
2026/05/28 02:55:12.051, 58.39 W, 100 %
2026/05/28 02:55:12.155, 58.30 W, 100 %
2026/05/28 02:55:12.258, 58.58 W, 100 %
2026/05/28 02:55:12.361, 58.30 W, 100 %
2026/05/28 02:55:12.464, 58.49 W, 100 %
2026/05/28 02:55:12.568, 58.49 W, 100 %
2026/05/28 02:55:12.671, 58.39 W, 100 %
2026/05/28 02:55:12.774, 58.58 W, 100 %
2026/05/28 02:55:12.878, 58.30 W, 100 %
2026/05/28 02:55:12.981, 58.49 W, 100 %
2026/05/28 02:55:13.084, 58.39 W, 100 %
2026/05/28 02:55:13.187, 58.49 W, 100 %
2026/05/28 02:55:13.291, 58.49 W, 100 %
2026/05/28 02:55:13.396, 58.49 W, 100 %
2026/05/28 02:55:13.506, 58.49 W, 100 %
2026/05/28 02:55:13.609, 58.39 W, 100 %
2026/05/28 02:55:13.712, 58.49 W, 100 %
2026/05/28 02:55:13.815, 58.49 W, 100 %
2026/05/28 02:55:13.919, 58.58 W, 100 %
2026/05/28 02:55:14.022, 58.49 W, 100 %
2026/05/28 02:55:14.125, 58.49 W, 100 %
2026/05/28 02:55:14.228, 58.39 W, 100 %
2026/05/28 02:55:14.332, 58.67 W, 100 %
2026/05/28 02:55:14.435, 58.68 W, 100 %
2026/05/28 02:55:14.541, 58.39 W, 100 %
2026/05/28 02:55:14.644, 58.39 W, 100 %
2026/05/28 02:55:14.747, 58.49 W, 100 %
2026/05/28 02:55:14.850, 58.58 W, 100 %
2026/05/28 02:55:14.953, 58.49 W, 100 %
2026/05/28 02:55:15.056, 58.30 W, 100 %
